,00,01,10,11,xy,x'y,xy',x'y',x0,x1,x'0,x'1,0y,1y,0y',1y',Row_Max
0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
0.05,0.9525,0.95,0.0475,0.9525,0.9525,0.9025,0.095,0.9525,0.05,0.9975,0.95,0.905,0.9525,0.9025,0.95,0.0975,0.9975
0.1,0.91,0.9,0.09,0.91,0.91,0.81,0.18,0.91,0.1,0.99,0.9,0.82,0.91,0.81,0.9,0.19,0.99
0.15000000000000002,0.8725,0.85,0.1275,0.8725,0.8725,0.7225,0.255,0.8725,0.15,0.9775,0.85,0.745,0.8725,0.7225,0.85,0.2775,0.9775
0.2,0.84,0.8,0.16,0.84,0.84,0.64,0.32,0.84,0.2,0.96,0.8,0.68,0.84,0.64,0.8,0.36,0.96
0.25,0.8125,0.75,0.1875,0.8125,0.8125,0.5625,0.375,0.8125,0.25,0.9375,0.75,0.625,0.8125,0.5625,0.75,0.4375,0.9375
0.30000000000000004,0.79,0.7,0.21,0.79,0.79,0.49,0.42,0.79,0.3,0.91,0.7,0.58,0.79,0.49,0.7,0.51,0.91
0.35000000000000003,0.7725,0.65,0.2275,0.7725,0.7725,0.4225,0.455,0.7725,0.35,0.8775,0.65,0.545,0.7725,0.4225,0.65,0.5775,0.8775
0.4,0.76,0.6,0.24,0.76,0.76,0.36,0.48,0.76,0.4,0.84,0.6,0.52,0.76,0.36,0.6,0.64,0.84
0.45,0.7525,0.55,0.2475,0.7525,0.7525,0.3025,0.495,0.7525,0.45,0.7975,0.55,0.505,0.7525,0.3025,0.55,0.6975,0.7975
0.5,0.75,0.5,0.25,0.75,0.75,0.25,0.5,0.75,0.5,0.75,0.5,0.5,0.75,0.25,0.5,0.75,0.75
0.55,0.7525,0.45,0.2475,0.7525,0.7525,0.2025,0.495,0.7525,0.55,0.6975,0.45,0.505,0.7525,0.2025,0.45,0.7975,0.7975
0.6000000000000001,0.76,0.4,0.24,0.76,0.76,0.16,0.48,0.76,0.6,0.64,0.4,0.52,0.76,0.16,0.4,0.84,0.84
0.65,0.7725,0.35,0.2275,0.7725,0.7725,0.1225,0.455,0.7725,0.65,0.5775,0.35,0.545,0.7725,0.1225,0.35,0.8775,0.8775
0.7000000000000001,0.79,0.3,0.21,0.79,0.79,0.09,0.42,0.79,0.7,0.51,0.3,0.58,0.79,0.09,0.3,0.91,0.91
0.75,0.8125,0.25,0.1875,0.8125,0.8125,0.0625,0.375,0.8125,0.75,0.4375,0.25,0.625,0.8125,0.0625,0.25,0.9375,0.9375
0.8,0.84,0.2,0.16,0.84,0.84,0.04,0.32,0.84,0.8,0.36,0.2,0.68,0.84,0.04,0.2,0.96,0.96
0.8500000000000001,0.8725,0.15,0.1275,0.8725,0.8725,0.0225,0.255,0.8725,0.85,0.2775,0.15,0.745,0.8725,0.0225,0.15,0.9775,0.9775
0.9,0.91,0.1,0.09,0.91,0.91,0.01,0.18,0.91,0.9,0.19,0.1,0.82,0.91,0.01,0.1,0.99,0.99
0.9500000000000001,0.9525,0.05,0.0475,0.9525,0.9525,0.0025,0.095,0.9525,0.95,0.0975,0.05,0.905,0.9525,0.0025,0.05,0.9975,0.9975
1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
Col_Max,1.0,1.0,0.25,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
