,00,01,10,11,xy,x'y,xy',x'y',x0,x1,x'0,x'1,0y,1y,0y',1y',Row Max
0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
0.05,0.9525,0.0475,0.0025000000000000005,0.9525,0.905,0.05,0.0475,0.9524999999999999,0.05,0.9025,0.905,0.0975,0.0025000000000000005,0.9525,0.9975,0.0025000000000000005,0.9975
0.1,0.91,0.09,0.010000000000000002,0.91,0.8200000000000001,0.1,0.09,0.91,0.1,0.81,0.8200000000000001,0.19,0.010000000000000002,0.91,0.99,0.010000000000000002,0.99
0.15000000000000002,0.8725,0.1275,0.022500000000000006,0.8725,0.745,0.15000000000000002,0.1275,0.8724999999999999,0.15000000000000002,0.7224999999999999,0.745,0.2775,0.022500000000000006,0.8725,0.9775,0.022500000000000006,0.9775
0.2,0.84,0.16,0.04000000000000001,0.84,0.6799999999999999,0.2,0.16,0.8400000000000001,0.2,0.64,0.6799999999999999,0.36,0.04000000000000001,0.84,0.96,0.04000000000000001,0.96
0.25,0.8125,0.1875,0.0625,0.8125,0.625,0.25,0.1875,0.8125,0.25,0.5625,0.625,0.4375,0.0625,0.8125,0.9375,0.0625,0.9375
0.30000000000000004,0.79,0.21000000000000002,0.09000000000000002,0.79,0.58,0.30000000000000004,0.21000000000000002,0.79,0.30000000000000004,0.49,0.58,0.51,0.09000000000000002,0.79,0.9099999999999999,0.09000000000000002,0.9099999999999999
0.35000000000000003,0.7725,0.2275,0.12250000000000003,0.7725,0.5449999999999999,0.35000000000000003,0.2275,0.7725,0.35000000000000003,0.4225,0.5449999999999999,0.5775,0.12250000000000003,0.7725,0.8775,0.12250000000000003,0.8775
0.4,0.76,0.24,0.16000000000000003,0.76,0.52,0.4,0.24,0.7600000000000001,0.4,0.36,0.52,0.64,0.16000000000000003,0.76,0.84,0.16000000000000003,0.84
0.45,0.7525,0.2475,0.2025,0.7525,0.505,0.45,0.2475,0.7525000000000002,0.45,0.3025,0.505,0.6975,0.2025,0.7525,0.7975,0.2025,0.7975
0.5,0.75,0.25,0.25,0.75,0.5,0.5,0.25,0.75,0.5,0.25,0.5,0.75,0.25,0.75,0.75,0.25,0.75
0.55,0.7525,0.2475,0.30250000000000005,0.7525,0.505,0.55,0.2475,0.7525,0.55,0.2024999999999999,0.505,0.7975000000000001,0.30250000000000005,0.7525,0.6975,0.30250000000000005,0.7975000000000001
0.6000000000000001,0.76,0.24,0.3600000000000001,0.76,0.52,0.6000000000000001,0.24,0.76,0.6000000000000001,0.15999999999999992,0.52,0.8400000000000001,0.3600000000000001,0.76,0.6399999999999999,0.3600000000000001,0.8400000000000001
0.65,0.7725,0.22749999999999998,0.42250000000000004,0.7725,0.545,0.65,0.22749999999999998,0.7725000000000001,0.65,0.12250000000000005,0.545,0.8775,0.42250000000000004,0.7725,0.5774999999999999,0.42250000000000004,0.8775
0.7000000000000001,0.79,0.20999999999999996,0.4900000000000001,0.79,0.5800000000000001,0.7000000000000001,0.20999999999999996,0.7900000000000001,0.7000000000000001,0.08999999999999997,0.5800000000000001,0.91,0.4900000000000001,0.79,0.5099999999999999,0.4900000000000001,0.91
0.75,0.8125,0.1875,0.5625,0.8125,0.625,0.75,0.1875,0.8125,0.75,0.0625,0.625,0.9375,0.5625,0.8125,0.4375,0.5625,0.9375
0.8,0.8400000000000001,0.15999999999999992,0.6400000000000001,0.8400000000000001,0.6800000000000002,0.8,0.15999999999999992,0.8400000000000001,0.8,0.040000000000000036,0.6800000000000002,0.96,0.6400000000000001,0.8400000000000001,0.3599999999999999,0.6400000000000001,0.96
0.8500000000000001,0.8725,0.12749999999999995,0.7225000000000001,0.8725,0.7450000000000001,0.8500000000000001,0.12749999999999995,0.8725,0.8500000000000001,0.022499999999999964,0.7450000000000001,0.9775,0.7225000000000001,0.8725,0.27749999999999986,0.7225000000000001,0.9775
0.9,0.91,0.08999999999999997,0.81,0.91,0.8200000000000001,0.9,0.08999999999999997,0.91,0.9,0.010000000000000009,0.8200000000000001,0.99,0.81,0.91,0.18999999999999995,0.81,0.99
0.9500000000000001,0.9525,0.04749999999999999,0.9025000000000001,0.9525,0.905,0.9500000000000001,0.04749999999999999,0.9525,0.9500000000000001,0.0024999999999999467,0.905,0.9975,0.9025000000000001,0.9525,0.09749999999999992,0.9025000000000001,0.9975
1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
Column Max,1.0,0.25,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
