,00,01,10,11,xy,x'y,xy',x'y',x0,x1,x'0,x'1,0y,1y,0y',1y',Row Max
0.56,0.7536,0.2464,0.31360000000000005,0.7536,0.5072,0.56,0.2464,0.7536,0.56,0.1936,0.5072,0.8064,0.31360000000000005,0.7536,0.6863999999999999,0.31360000000000005,0.8064
0.58,0.7564,0.24359999999999998,0.3364,0.7564,0.5128,0.58,0.24359999999999998,0.7564000000000001,0.58,0.1764000000000001,0.5128,0.8235999999999999,0.3364,0.7564,0.6636,0.3364,0.8235999999999999
0.6,0.76,0.24,0.36,0.76,0.52,0.6,0.24,0.7599999999999999,0.6,0.16000000000000003,0.52,0.84,0.36,0.76,0.64,0.36,0.84
0.62,0.7644,0.23559999999999998,0.3844,0.7644,0.5288,0.62,0.23559999999999998,0.7644000000000001,0.62,0.14440000000000008,0.5288,0.8555999999999999,0.3844,0.7644,0.6155999999999999,0.3844,0.8555999999999999
0.64,0.7696000000000001,0.2304,0.4096,0.7696000000000001,0.5392,0.64,0.2304,0.7696,0.64,0.12959999999999994,0.5392,0.8704000000000001,0.4096,0.7696000000000001,0.5904,0.4096,0.8704000000000001
0.66,0.7756000000000001,0.2244,0.43560000000000004,0.7756000000000001,0.5512,0.66,0.2244,0.7756,0.66,0.11559999999999993,0.5512,0.8844000000000001,0.43560000000000004,0.7756000000000001,0.5644,0.43560000000000004,0.8844000000000001
0.68,0.7824,0.21759999999999996,0.4624000000000001,0.7824,0.5648000000000001,0.68,0.21759999999999996,0.7824000000000001,0.68,0.10240000000000005,0.5648000000000001,0.8976,0.4624000000000001,0.7824,0.5375999999999999,0.4624000000000001,0.8976
0.7000000000000001,0.79,0.20999999999999996,0.4900000000000001,0.79,0.5800000000000001,0.7000000000000001,0.20999999999999996,0.7900000000000001,0.7000000000000001,0.08999999999999997,0.5800000000000001,0.91,0.4900000000000001,0.79,0.5099999999999999,0.4900000000000001,0.91
0.72,0.7984,0.2016,0.5184,0.7984,0.5968,0.72,0.2016,0.7984,0.72,0.07840000000000003,0.5968,0.9216,0.5184,0.7984,0.48160000000000003,0.5184,0.9216
0.74,0.8076,0.19240000000000002,0.5476,0.8076,0.6152,0.74,0.19240000000000002,0.8076000000000001,0.74,0.0676,0.6152,0.9324,0.5476,0.8076,0.4524,0.5476,0.9324
0.76,0.8176,0.1824,0.5776,0.8176,0.6352,0.76,0.1824,0.8175999999999999,0.76,0.057599999999999985,0.6352,0.9424,0.5776,0.8176,0.4224,0.5776,0.9424
0.78,0.8284,0.17159999999999997,0.6084,0.8284,0.6568,0.78,0.17159999999999997,0.8284,0.78,0.0484,0.6568,0.9516,0.6084,0.8284,0.39159999999999995,0.6084,0.9516
0.8,0.8400000000000001,0.15999999999999992,0.6400000000000001,0.8400000000000001,0.6800000000000002,0.8,0.15999999999999992,0.8400000000000001,0.8,0.040000000000000036,0.6800000000000002,0.96,0.6400000000000001,0.8400000000000001,0.3599999999999999,0.6400000000000001,0.96
0.8200000000000001,0.8524,0.14759999999999995,0.6724000000000001,0.8524,0.7048000000000001,0.8200000000000001,0.14759999999999995,0.8524,0.8200000000000001,0.032399999999999984,0.7048000000000001,0.9676,0.6724000000000001,0.8524,0.3275999999999999,0.6724000000000001,0.9676
0.84,0.8655999999999999,0.13440000000000007,0.7055999999999999,0.8655999999999999,0.7311999999999999,0.84,0.13440000000000007,0.8656,0.84,0.025599999999999956,0.7311999999999999,0.9744,0.7055999999999999,0.8655999999999999,0.2944000000000001,0.7055999999999999,0.9744
0.86,0.8795999999999999,0.12040000000000006,0.7395999999999999,0.8795999999999999,0.7591999999999999,0.86,0.12040000000000006,0.8795999999999998,0.86,0.01959999999999995,0.7591999999999999,0.9804,0.7395999999999999,0.8795999999999999,0.2604000000000001,0.7395999999999999,0.9804
0.88,0.8944,0.10560000000000003,0.7744,0.8944,0.7888,0.88,0.10560000000000003,0.8944,0.88,0.014399999999999968,0.7888,0.9856,0.7744,0.8944,0.22560000000000002,0.7744,0.9856
0.9,0.91,0.08999999999999997,0.81,0.91,0.8200000000000001,0.9,0.08999999999999997,0.91,0.9,0.010000000000000009,0.8200000000000001,0.99,0.81,0.91,0.18999999999999995,0.81,0.99
0.92,0.9264,0.0736,0.8464,0.9264,0.8528,0.92,0.0736,0.9264,0.92,0.006399999999999961,0.8528,0.9936,0.8464,0.9264,0.15359999999999996,0.8464,0.9936
0.9400000000000001,0.9436000000000001,0.056399999999999895,0.8836000000000002,0.9436000000000001,0.8872000000000002,0.9400000000000001,0.056399999999999895,0.9436000000000001,0.9400000000000001,0.0036000000000000476,0.8872000000000002,0.9964,0.8836000000000002,0.9436000000000001,0.11639999999999984,0.8836000000000002,0.9964
0.96,0.9616,0.03839999999999999,0.9216,0.9616,0.9232,0.96,0.03839999999999999,0.9616,0.96,0.0016000000000000458,0.9232,0.9984,0.9216,0.9616,0.07840000000000003,0.9216,0.9984
0.98,0.9803999999999999,0.019600000000000062,0.9603999999999999,0.9803999999999999,0.9607999999999999,0.98,0.019600000000000062,0.9803999999999999,0.98,0.00039999999999995595,0.9607999999999999,0.9996,0.9603999999999999,0.9803999999999999,0.03960000000000008,0.9603999999999999,0.9996
1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
1.02,1.0204,-0.020399999999999974,1.0404,1.0204,1.0408,1.02,-0.020399999999999974,1.0204,1.02,0.00039999999999995595,1.0408,0.9996,1.0404,1.0204,-0.04039999999999999,1.0404,1.0408
1.04,1.0416,-0.04160000000000008,1.0816000000000001,1.0416,1.0832000000000002,1.04,-0.04160000000000008,1.0415999999999999,1.04,0.0016000000000000458,1.0832000000000002,0.9984,1.0816000000000001,1.0416,-0.08160000000000012,1.0816000000000001,1.0832000000000002
Column Max,1.0416,0.25,1.0816000000000001,1.0416,1.0832000000000002,1.04,0.25,1.0415999999999999,1.04,1.0,1.0832000000000002,1.0,1.0816000000000001,1.0416,1.0,1.0816000000000001,1.0832000000000002
