,00,01,10,11,xy,x'y,xy',x'y',x0,x1,x'0,x'1,0y,1y,0y',1y',Max_Value_Rowwise
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.05,0.0025000000000000005,0.05,0.905,0.0475,0.0025000000000000005,0.05,0.905,0.0475,0.9049999999999999,0.0025000000000000005,0.095,0.0025000000000000005,0.0025000000000000005,0.05,0.05,0.9025,0.905
0.1,0.010000000000000002,0.1,0.8200000000000001,0.09000000000000001,0.010000000000000002,0.1,0.8200000000000001,0.09000000000000001,0.8200000000000001,0.010000000000000002,0.18,0.010000000000000002,0.010000000000000002,0.1,0.1,0.81,0.82
0.15000000000000002,0.022500000000000006,0.15000000000000002,0.745,0.1275,0.022500000000000006,0.15000000000000002,0.745,0.1275,0.7449999999999999,0.022500000000000006,0.255,0.022500000000000006,0.022500000000000006,0.15000000000000002,0.15000000000000002,0.7224999999999999,0.745
0.2,0.04000000000000001,0.2,0.6799999999999999,0.16000000000000003,0.04000000000000001,0.2,0.6799999999999999,0.16000000000000003,0.68,0.04000000000000001,0.32,0.04000000000000001,0.04000000000000001,0.2,0.2,0.64,0.68
0.25,0.0625,0.25,0.625,0.1875,0.0625,0.25,0.625,0.1875,0.625,0.0625,0.375,0.0625,0.0625,0.25,0.25,0.5625,0.625
0.30000000000000004,0.09000000000000002,0.30000000000000004,0.58,0.21000000000000002,0.09000000000000002,0.30000000000000004,0.58,0.21000000000000002,0.5800000000000001,0.09000000000000002,0.42000000000000004,0.09000000000000002,0.09000000000000002,0.30000000000000004,0.30000000000000004,0.49,0.58
0.35000000000000003,0.12250000000000003,0.35000000000000003,0.5449999999999999,0.22749999999999998,0.12250000000000003,0.35000000000000003,0.5449999999999999,0.22749999999999998,0.545,0.12250000000000003,0.455,0.12250000000000003,0.12250000000000003,0.35000000000000003,0.35000000000000003,0.4225,0.545
0.4,0.16000000000000003,0.4,0.52,0.24,0.16000000000000003,0.4,0.52,0.24,0.52,0.16000000000000003,0.48,0.16000000000000003,0.16000000000000003,0.4,0.4,0.36,0.52
0.45,0.2025,0.45,0.505,0.24750000000000003,0.2025,0.45,0.505,0.24750000000000003,0.505,0.2025,0.495,0.2025,0.2025,0.45,0.45,0.3025,0.505
0.5,0.25,0.5,0.5,0.25,0.25,0.5,0.5,0.25,0.5,0.25,0.5,0.25,0.25,0.5,0.5,0.25,0.5
0.55,0.30250000000000005,0.55,0.505,0.2475,0.30250000000000005,0.55,0.505,0.2475,0.5049999999999999,0.30250000000000005,0.495,0.30250000000000005,0.30250000000000005,0.55,0.55,0.2024999999999999,0.55
0.6000000000000001,0.3600000000000001,0.6000000000000001,0.52,0.24,0.3600000000000001,0.6000000000000001,0.52,0.24,0.52,0.3600000000000001,0.48,0.3600000000000001,0.3600000000000001,0.6000000000000001,0.6000000000000001,0.15999999999999992,0.6
0.65,0.42250000000000004,0.65,0.545,0.22749999999999998,0.42250000000000004,0.65,0.545,0.22749999999999998,0.5450000000000002,0.42250000000000004,0.45499999999999996,0.42250000000000004,0.42250000000000004,0.65,0.65,0.12250000000000005,0.65
0.7000000000000001,0.4900000000000001,0.7000000000000001,0.5800000000000001,0.20999999999999996,0.4900000000000001,0.7000000000000001,0.5800000000000001,0.20999999999999996,0.5800000000000001,0.4900000000000001,0.41999999999999993,0.4900000000000001,0.4900000000000001,0.7000000000000001,0.7000000000000001,0.08999999999999997,0.7
0.75,0.5625,0.75,0.625,0.1875,0.5625,0.75,0.625,0.1875,0.625,0.5625,0.375,0.5625,0.5625,0.75,0.75,0.0625,0.75
0.8,0.6400000000000001,0.8,0.6800000000000002,0.15999999999999998,0.6400000000000001,0.8,0.6800000000000002,0.15999999999999998,0.6800000000000002,0.6400000000000001,0.31999999999999984,0.6400000000000001,0.6400000000000001,0.8,0.8,0.040000000000000036,0.8
0.8500000000000001,0.7225000000000001,0.8500000000000001,0.7450000000000001,0.12749999999999995,0.7225000000000001,0.8500000000000001,0.7450000000000001,0.12749999999999995,0.7450000000000001,0.7225000000000001,0.2549999999999999,0.7225000000000001,0.7225000000000001,0.8500000000000001,0.8500000000000001,0.022499999999999964,0.85
0.9,0.81,0.9,0.8200000000000001,0.08999999999999998,0.81,0.9,0.8200000000000001,0.08999999999999998,0.8200000000000001,0.81,0.17999999999999994,0.81,0.81,0.9,0.9,0.010000000000000009,0.9
0.9500000000000001,0.9025000000000001,0.9500000000000001,0.905,0.04749999999999994,0.9025000000000001,0.9500000000000001,0.905,0.04749999999999994,0.905,0.9025000000000001,0.09499999999999997,0.9025000000000001,0.9025000000000001,0.9500000000000001,0.9500000000000001,0.0024999999999999467,0.95
1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
Max_Value_Columnwise,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.25,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
