,00,01,10,11,xy,x'y,xy',x'y',x0,x1,x'0,x'1,0y,1y,0y',1y',Row_Max
0.44,0.6864,0.56,0.56,0.8064,0.5072,0.8064,0.8064,0.4928,0.7536,0.56,0.4928,0.8064,0.7536,0.56,0.4928,0.8064,0.8064
0.46,0.7084,0.54,0.54,0.7884,0.5032,0.7884,0.7884,0.4968,0.7516,0.54,0.4968,0.7884,0.7516,0.54,0.4968,0.7884,0.7884
0.48,0.7296,0.52,0.52,0.7696,0.5008,0.7696,0.7696,0.4992,0.7504,0.52,0.4992,0.7696,0.7504,0.52,0.4992,0.7696,0.7696
0.5,0.75,0.5,0.5,0.75,0.5,0.75,0.75,0.5,0.75,0.5,0.5,0.75,0.75,0.5,0.5,0.75,0.75
0.52,0.7696,0.48,0.48,0.7296,0.5008,0.7296,0.7296,0.4992,0.7504,0.48,0.4992,0.7296,0.7504,0.48,0.4992,0.7296,0.7696
0.54,0.7884,0.46,0.46,0.7084,0.5032,0.7084,0.7084,0.4968,0.7516,0.46,0.4968,0.7084,0.7516,0.46,0.4968,0.7084,0.7884
0.56,0.8064,0.44,0.44,0.6864,0.5072,0.6864,0.6864,0.4928,0.7536,0.44,0.4928,0.6864,0.7536,0.44,0.4928,0.6864,0.8064
0.58,0.8236,0.42,0.42,0.6636,0.5128,0.6636,0.6636,0.4872,0.7564,0.42,0.4872,0.6636,0.7564,0.42,0.4872,0.6636,0.8236
0.6,0.84,0.4,0.4,0.64,0.52,0.64,0.64,0.48,0.76,0.4,0.48,0.64,0.76,0.4,0.48,0.64,0.84
0.62,0.8556,0.38,0.38,0.6156,0.5288,0.6156,0.6156,0.4712,0.7644,0.38,0.4712,0.6156,0.7644,0.38,0.4712,0.6156,0.8556
0.64,0.8704,0.36,0.36,0.5904,0.5392,0.5904,0.5904,0.4608,0.7696,0.36,0.4608,0.5904,0.7696,0.36,0.4608,0.5904,0.8704
0.66,0.8844,0.34,0.34,0.5644,0.5512,0.5644,0.5644,0.4488,0.7756,0.34,0.4488,0.5644,0.7756,0.34,0.4488,0.5644,0.8844
0.68,0.8976,0.32,0.32,0.5376,0.5648,0.5376,0.5376,0.4352,0.7824,0.32,0.4352,0.5376,0.7824,0.32,0.4352,0.5376,0.8976
0.7000000000000001,0.91,0.3,0.3,0.51,0.58,0.51,0.51,0.42,0.79,0.3,0.42,0.51,0.79,0.3,0.42,0.51,0.91
0.72,0.9216,0.28,0.28,0.4816,0.5968,0.4816,0.4816,0.4032,0.7984,0.28,0.4032,0.4816,0.7984,0.28,0.4032,0.4816,0.9216
0.74,0.9324,0.26,0.26,0.4524,0.6152,0.4524,0.4524,0.3848,0.8076,0.26,0.3848,0.4524,0.8076,0.26,0.3848,0.4524,0.9324
0.76,0.9424,0.24,0.24,0.4224,0.6352,0.4224,0.4224,0.3648,0.8176,0.24,0.3648,0.4224,0.8176,0.24,0.3648,0.4224,0.9424
0.78,0.9516,0.22,0.22,0.3916,0.6568,0.3916,0.3916,0.3432,0.8284,0.22,0.3432,0.3916,0.8284,0.22,0.3432,0.3916,0.9516
0.8,0.96,0.2,0.2,0.36,0.68,0.36,0.36,0.32,0.84,0.2,0.32,0.36,0.84,0.2,0.32,0.36,0.96
0.8200000000000001,0.9676,0.18,0.18,0.3276,0.7048,0.3276,0.3276,0.2952,0.8524,0.18,0.2952,0.3276,0.8524,0.18,0.2952,0.3276,0.9676
0.84,0.9744,0.16,0.16,0.2944,0.7312,0.2944,0.2944,0.2688,0.8656,0.16,0.2688,0.2944,0.8656,0.16,0.2688,0.2944,0.9744
0.86,0.9804,0.14,0.14,0.2604,0.7592,0.2604,0.2604,0.2408,0.8796,0.14,0.2408,0.2604,0.8796,0.14,0.2408,0.2604,0.9804
0.88,0.9856,0.12,0.12,0.2256,0.7888,0.2256,0.2256,0.2112,0.8944,0.12,0.2112,0.2256,0.8944,0.12,0.2112,0.2256,0.9856
0.9,0.99,0.1,0.1,0.19,0.82,0.19,0.19,0.18,0.91,0.1,0.18,0.19,0.91,0.1,0.18,0.19,0.99
0.92,0.9936,0.08,0.08,0.1536,0.8528,0.1536,0.1536,0.1472,0.9264,0.08,0.1472,0.1536,0.9264,0.08,0.1472,0.1536,0.9936
0.9400000000000001,0.9964,0.06,0.06,0.1164,0.8872,0.1164,0.1164,0.1128,0.9436,0.06,0.1128,0.1164,0.9436,0.06,0.1128,0.1164,0.9964
0.96,0.9984,0.04,0.04,0.0784,0.9232,0.0784,0.0784,0.0768,0.9616,0.04,0.0768,0.0784,0.9616,0.04,0.0768,0.0784,0.9984
0.98,0.9996,0.02,0.02,0.0396,0.9608,0.0396,0.0396,0.0392,0.9804,0.02,0.0392,0.0396,0.9804,0.02,0.0392,0.0396,0.9996
1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1.02,0.9996,-0.02,-0.02,-0.0404,1.0408,-0.0404,-0.0404,-0.0408,1.0204,-0.02,-0.0408,-0.0404,1.0204,-0.02,-0.0408,-0.0404,1.0408
1.04,0.9984,-0.04,-0.04,-0.0816,1.0832,-0.0816,-0.0816,-0.0832,1.0416,-0.04,-0.0832,-0.0816,1.0416,-0.04,-0.0832,-0.0816,1.0832
Col_Max,1.0,1.0,1.0,1.0,1.0832,1.0,1.0,0.5,1.0416,1.0,0.5,1.0,1.0416,1.0,0.5,1.0,1.0832
