,00,01,10,11,xy,x'y,xy',x'y',x0,x1,x'0,x'1,0y,1y,0y',1y',Row_Max
0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
0.02,0.0396,0.98,0.98,0.9996,0.9608,0.9996,0.9996,0.0392,0.9804,0.98,0.0392,0.9996,0.9804,0.98,0.0392,0.9996,0.9996
0.04,0.0784,0.96,0.96,0.9984,0.9232,0.9984,0.9984,0.0768,0.9616,0.96,0.0768,0.9984,0.9616,0.96,0.0768,0.9984,0.9984
0.06,0.1164,0.94,0.94,0.9964,0.8872,0.9964,0.9964,0.1128,0.9436,0.94,0.1128,0.9964,0.9436,0.94,0.1128,0.9964,0.9964
0.08,0.1536,0.92,0.92,0.9936,0.8528,0.9936,0.9936,0.1472,0.9264,0.92,0.1472,0.9936,0.9264,0.92,0.1472,0.9936,0.9936
0.1,0.19,0.9,0.9,0.99,0.82,0.99,0.99,0.18,0.91,0.9,0.18,0.99,0.91,0.9,0.18,0.99,0.99
0.12,0.2256,0.88,0.88,0.9856,0.7888,0.9856,0.9856,0.2112,0.8944,0.88,0.2112,0.9856,0.8944,0.88,0.2112,0.9856,0.9856
0.14,0.2604,0.86,0.86,0.9804,0.7592,0.9804,0.9804,0.2408,0.8796,0.86,0.2408,0.9804,0.8796,0.86,0.2408,0.9804,0.9804
0.16,0.2944,0.84,0.84,0.9744,0.7312,0.9744,0.9744,0.2688,0.8656,0.84,0.2688,0.9744,0.8656,0.84,0.2688,0.9744,0.9744
0.18,0.3276,0.82,0.82,0.9676,0.7048,0.9676,0.9676,0.2952,0.8524,0.82,0.2952,0.9676,0.8524,0.82,0.2952,0.9676,0.9676
0.2,0.36,0.8,0.8,0.96,0.68,0.96,0.96,0.32,0.84,0.8,0.32,0.96,0.84,0.8,0.32,0.96,0.96
0.22,0.3916,0.78,0.78,0.9516,0.6568,0.9516,0.9516,0.3432,0.8284,0.78,0.3432,0.9516,0.8284,0.78,0.3432,0.9516,0.9516
0.24,0.4224,0.76,0.76,0.9424,0.6352,0.9424,0.9424,0.3648,0.8176,0.76,0.3648,0.9424,0.8176,0.76,0.3648,0.9424,0.9424
0.26,0.4524,0.74,0.74,0.9324,0.6152,0.9324,0.9324,0.3848,0.8076,0.74,0.3848,0.9324,0.8076,0.74,0.3848,0.9324,0.9324
0.28,0.4816,0.72,0.72,0.9216,0.5968,0.9216,0.9216,0.4032,0.7984,0.72,0.4032,0.9216,0.7984,0.72,0.4032,0.9216,0.9216
0.3,0.51,0.7,0.7,0.91,0.58,0.91,0.91,0.42,0.79,0.7,0.42,0.91,0.79,0.7,0.42,0.91,0.91
0.32,0.5376,0.68,0.68,0.8976,0.5648,0.8976,0.8976,0.4352,0.7824,0.68,0.4352,0.8976,0.7824,0.68,0.4352,0.8976,0.8976
0.34,0.5644,0.66,0.66,0.8844,0.5512,0.8844,0.8844,0.4488,0.7756,0.66,0.4488,0.8844,0.7756,0.66,0.4488,0.8844,0.8844
0.36,0.5904,0.64,0.64,0.8704,0.5392,0.8704,0.8704,0.4608,0.7696,0.64,0.4608,0.8704,0.7696,0.64,0.4608,0.8704,0.8704
0.38,0.6156,0.62,0.62,0.8556,0.5288,0.8556,0.8556,0.4712,0.7644,0.62,0.4712,0.8556,0.7644,0.62,0.4712,0.8556,0.8556
0.4,0.64,0.6,0.6,0.84,0.52,0.84,0.84,0.48,0.76,0.6,0.48,0.84,0.76,0.6,0.48,0.84,0.84
0.42,0.6636,0.58,0.58,0.8236,0.5128,0.8236,0.8236,0.4872,0.7564,0.58,0.4872,0.8236,0.7564,0.58,0.4872,0.8236,0.8236
