,00,01,10,11,xy,x'y,xy',x'y',x0,x1,x'0,x'1,0y,1y,0y',1y',Row Max
0.7000000000000001,0.420000,0.090000,0.090000,0.910000,0.490000,0.510000,0.510000,0.490000,0.790000,0.210000,0.210000,0.790000,0.790000,0.210000,0.210000,0.790000,0.910000
0.72,0.403200,0.078400,0.078400,0.921600,0.518400,0.481600,0.481600,0.518400,0.798400,0.201600,0.201600,0.798400,0.798400,0.201600,0.201600,0.798400,0.921600
0.74,0.384800,0.067600,0.067600,0.932400,0.547600,0.452400,0.452400,0.547600,0.807600,0.192400,0.192400,0.807600,0.807600,0.192400,0.192400,0.807600,0.932400
0.76,0.364800,0.057600,0.057600,0.942400,0.577600,0.422400,0.422400,0.577600,0.817600,0.182400,0.182400,0.817600,0.817600,0.182400,0.182400,0.817600,0.942400
0.78,0.343200,0.048400,0.048400,0.951600,0.608400,0.391600,0.391600,0.608400,0.828400,0.171600,0.171600,0.828400,0.828400,0.171600,0.171600,0.828400,0.951600
0.8,0.320000,0.040000,0.040000,0.960000,0.640000,0.360000,0.360000,0.640000,0.840000,0.160000,0.160000,0.840000,0.840000,0.160000,0.160000,0.840000,0.960000
0.8200000000000001,0.295200,0.032400,0.032400,0.967600,0.672400,0.327600,0.327600,0.672400,0.852400,0.147600,0.147600,0.852400,0.852400,0.147600,0.147600,0.852400,0.967600
0.84,0.268800,0.025600,0.025600,0.974400,0.705600,0.294400,0.294400,0.705600,0.865600,0.134400,0.134400,0.865600,0.865600,0.134400,0.134400,0.865600,0.974400
0.86,0.240800,0.019600,0.019600,0.980400,0.739600,0.260400,0.260400,0.739600,0.879600,0.120400,0.120400,0.879600,0.879600,0.120400,0.120400,0.879600,0.980400
0.88,0.211200,0.014400,0.014400,0.985600,0.774400,0.225600,0.225600,0.774400,0.894400,0.105600,0.105600,0.894400,0.894400,0.105600,0.105600,0.894400,0.985600
0.9,0.180000,0.010000,0.010000,0.990000,0.810000,0.190000,0.190000,0.810000,0.910000,0.090000,0.090000,0.910000,0.910000,0.090000,0.090000,0.910000,0.990000
0.92,0.147200,0.006400,0.006400,0.993600,0.846400,0.153600,0.153600,0.846400,0.926400,0.073600,0.073600,0.926400,0.926400,0.073600,0.073600,0.926400,0.993600
0.9400000000000001,0.112800,0.003600,0.003600,0.996400,0.883600,0.116400,0.116400,0.883600,0.943600,0.056400,0.056400,0.943600,0.943600,0.056400,0.056400,0.943600,0.996400
0.96,0.076800,0.001600,0.001600,0.998400,0.921600,0.078400,0.078400,0.921600,0.961600,0.038400,0.038400,0.961600,0.961600,0.038400,0.038400,0.961600,0.998400
0.98,0.039200,0.000400,0.000400,0.999600,0.960400,0.039600,0.039600,0.960400,0.980400,0.019600,0.019600,0.980400,0.980400,0.019600,0.019600,0.980400,0.999600
1.0,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000
1.02,-0.040800,0.000400,0.000400,0.999600,1.040400,-0.040400,-0.040400,1.040400,1.020400,-0.020400,-0.020400,1.020400,1.020400,-0.020400,-0.020400,1.020400,1.040400
1.04,-0.083200,0.001600,0.001600,0.998400,1.081600,-0.081600,-0.081600,1.081600,1.041600,-0.041600,-0.041600,1.041600,1.041600,-0.041600,-0.041600,1.041600,1.081600
Column Max,0.500000,1.000000,1.000000,1.000000,1.081600,1.000000,1.000000,1.081600,1.041600,0.250000,0.250000,1.041600,1.041600,0.250000,0.250000,1.041600,1.081600
