Probability value,Maximum Quantum success probability,Maximum Classical Success probability
0,1,1
0.05,0.97375,0.9975
0.1,0.945,0.99
0.15,0.91375,0.9775
0.2,0.88,0.96
0.25,0.84431,0.9375
0.3,0.814124,0.91
0.35,0.791074,0.8775
0.4,0.774878,0.84
0.45,0.765334,0.7975
0.5,0.762189,0.75
0.55,0.765345,0.7975
0.6,0.774877,0.84
0.65,0.791073,0.8775
0.7,0.814126,0.91
0.75,0.84431,0.9375
0.8,0.88,0.96
0.85,0.91375,0.9775
0.9,0.945,0.99
0.95,0.97375,0.9975
1,1,1
