,00,01,10,11,xy,x'y,xy',x'y',x0,x1,x'0,x'1,0y,1y,0y',1y',Row_Max
0.64,0.7696,0.36,0.2304,0.7696,0.7696,0.1296,0.4608,0.7696,0.64,0.5904,0.36,0.5392,0.7696,0.1296,0.36,0.8704,0.8704
0.66,0.7756,0.34,0.2244,0.7756,0.7756,0.1156,0.4488,0.7756,0.66,0.5644,0.34,0.5512,0.7756,0.1156,0.34,0.8844,0.8844
0.68,0.7824,0.32,0.2176,0.7824,0.7824,0.1024,0.4352,0.7824,0.68,0.5376,0.32,0.5648,0.7824,0.1024,0.32,0.8976,0.8976
0.7000000000000001,0.79,0.3,0.21,0.79,0.79,0.09,0.42,0.79,0.7,0.51,0.3,0.58,0.79,0.09,0.3,0.91,0.91
0.72,0.7984,0.28,0.2016,0.7984,0.7984,0.0784,0.4032,0.7984,0.72,0.4816,0.28,0.5968,0.7984,0.0784,0.28,0.9216,0.9216
0.74,0.8076,0.26,0.1924,0.8076,0.8076,0.0676,0.3848,0.8076,0.74,0.4524,0.26,0.6152,0.8076,0.0676,0.26,0.9324,0.9324
0.76,0.8176,0.24,0.1824,0.8176,0.8176,0.0576,0.3648,0.8176,0.76,0.4224,0.24,0.6352,0.8176,0.0576,0.24,0.9424,0.9424
0.78,0.8284,0.22,0.1716,0.8284,0.8284,0.0484,0.3432,0.8284,0.78,0.3916,0.22,0.6568,0.8284,0.0484,0.22,0.9516,0.9516
0.8,0.84,0.2,0.16,0.84,0.84,0.04,0.32,0.84,0.8,0.36,0.2,0.68,0.84,0.04,0.2,0.96,0.96
0.8200000000000001,0.8524,0.18,0.1476,0.8524,0.8524,0.0324,0.2952,0.8524,0.82,0.3276,0.18,0.7048,0.8524,0.0324,0.18,0.9676,0.9676
0.84,0.8656,0.16,0.1344,0.8656,0.8656,0.0256,0.2688,0.8656,0.84,0.2944,0.16,0.7312,0.8656,0.0256,0.16,0.9744,0.9744
0.86,0.8796,0.14,0.1204,0.8796,0.8796,0.0196,0.2408,0.8796,0.86,0.2604,0.14,0.7592,0.8796,0.0196,0.14,0.9804,0.9804
0.88,0.8944,0.12,0.1056,0.8944,0.8944,0.0144,0.2112,0.8944,0.88,0.2256,0.12,0.7888,0.8944,0.0144,0.12,0.9856,0.9856
0.9,0.91,0.1,0.09,0.91,0.91,0.01,0.18,0.91,0.9,0.19,0.1,0.82,0.91,0.01,0.1,0.99,0.99
0.92,0.9264,0.08,0.0736,0.9264,0.9264,0.0064,0.1472,0.9264,0.92,0.1536,0.08,0.8528,0.9264,0.0064,0.08,0.9936,0.9936
0.9400000000000001,0.9436,0.06,0.0564,0.9436,0.9436,0.0036,0.1128,0.9436,0.94,0.1164,0.06,0.8872,0.9436,0.0036,0.06,0.9964,0.9964
0.96,0.9616,0.04,0.0384,0.9616,0.9616,0.0016,0.0768,0.9616,0.96,0.0784,0.04,0.9232,0.9616,0.0016,0.04,0.9984,0.9984
0.98,0.9804,0.02,0.0196,0.9804,0.9804,0.0004,0.0392,0.9804,0.98,0.0396,0.02,0.9608,0.9804,0.0004,0.02,0.9996,0.9996
1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
1.02,1.0204,-0.02,-0.0204,1.0204,1.0204,0.0004,-0.0408,1.0204,1.02,-0.0404,-0.02,1.0408,1.0204,0.0004,-0.02,0.9996,1.0408
1.04,1.0416,-0.04,-0.0416,1.0416,1.0416,0.0016,-0.0832,1.0416,1.04,-0.0816,-0.04,1.0832,1.0416,0.0016,-0.04,0.9984,1.0832
Col_Max,1.0416,1.0,0.25,1.0416,1.0416,1.0,0.5,1.0416,1.04,1.0,1.0,1.0832,1.0416,1.0,1.0,1.0,1.0832
