Probability value,Maximum Quantum success probability,Maximum Classical Success probability
0,0.5,1
0.05,0.49875,0.905
0.1,0.495,0.82
0.15,0.48875,0.745
0.2,0.480404,0.68
0.25,0.476033,0.625
0.3,0.477618,0.58
0.35,0.48499,0.545
0.4,0.498168,0.52
0.45,0.517217,0.505
0.5,0.542044,0.5
0.55,0.572827,0.55
0.6,0.609335,0.6
0.65,0.65185,0.65
0.7,0.7,0.7
0.75,0.75,0.75
0.8,0.8,0.8
0.85,0.85,0.85
0.9,0.9,0.9
0.95,0.95,0.95
1,1,1
