,00,01,10,11,xy,x'y,xy',x'y',x0,x1,x'0,x'1,0y,1y,0y',1y'
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.02,0.0004,0.02,0.9608,0.0196,0.0004,0.02,0.9608,0.0196,0.9608,0.0004,0.0004,0.0392,0.0004,0.02,0.02,0.9604
0.04,0.0016,0.04,0.9232,0.0384,0.0016,0.04,0.9232,0.0384,0.9232,0.0016,0.0016,0.0768,0.0016,0.04,0.04,0.9216
0.06,0.0036,0.06,0.8872,0.0564,0.0036,0.06,0.8872,0.0564,0.8872,0.0036,0.0036,0.1128,0.0036,0.06,0.06,0.8836
0.08,0.0064,0.08,0.8528,0.0736,0.0064,0.08,0.8528,0.0736,0.8528,0.0064,0.0064,0.1472,0.0064,0.08,0.08,0.8464
0.1,0.01,0.1,0.82,0.09,0.01,0.1,0.82,0.09,0.82,0.01,0.01,0.18,0.01,0.1,0.1,0.81
0.12,0.0144,0.12,0.7888,0.1056,0.0144,0.12,0.7888,0.1056,0.7888,0.0144,0.0144,0.2112,0.0144,0.12,0.12,0.7744
0.14,0.0196,0.14,0.7592,0.1204,0.0196,0.14,0.7592,0.1204,0.7592,0.0196,0.0196,0.2408,0.0196,0.14,0.14,0.7396
0.16,0.0256,0.16,0.7312,0.1344,0.0256,0.16,0.7312,0.1344,0.7312,0.0256,0.0256,0.2688,0.0256,0.16,0.16,0.7056
0.18,0.0324,0.18,0.7048,0.1476,0.0324,0.18,0.7048,0.1476,0.7048,0.0324,0.0324,0.2952,0.0324,0.18,0.18,0.6724
0.2,0.04,0.2,0.68,0.16,0.04,0.2,0.68,0.16,0.68,0.04,0.04,0.32,0.04,0.2,0.2,0.64
0.22,0.0484,0.22,0.6568,0.1716,0.0484,0.22,0.6568,0.1716,0.6568,0.0484,0.0484,0.3432,0.0484,0.22,0.22,0.6084
0.24,0.0576,0.24,0.6352,0.1824,0.0576,0.24,0.6352,0.1824,0.6352,0.0576,0.0576,0.3648,0.0576,0.24,0.24,0.5776
0.26,0.0676,0.26,0.6152,0.1924,0.0676,0.26,0.6152,0.1924,0.6152,0.0676,0.0676,0.3848,0.0676,0.26,0.26,0.5476
0.28,0.0784,0.28,0.5968,0.2016,0.0784,0.28,0.5968,0.2016,0.5968,0.0784,0.0784,0.4032,0.0784,0.28,0.28,0.5184
0.3,0.09,0.3,0.58,0.21,0.09,0.3,0.58,0.21,0.58,0.09,0.09,0.42,0.09,0.3,0.3,0.49
